,0,1,2
818,182,204,221
819,182,204,221
820,182,204,221
821,181,203,220
822,181,203,220
823,181,203,220
824,178,200,217
825,180,202,219
826,176,198,215
827,176,198,217
828,180,202,221
829,176,198,217
830,170,193,211
831,169,192,210
832,174,197,215
833,182,205,223
834,170,195,213
835,168,193,211
836,167,192,210
837,164,189,207
838,162,187,205
839,163,186,204
840,161,184,202
841,156,179,197
842,104,126,144
843,53,74,93
844,56,78,96
845,85,106,125
846,95,118,136
847,71,92,111
848,60,81,102
849,58,77,99
850,44,61,84
851,24,37,61
852,17,29,53
853,44,56,80
854,65,75,102
855,46,56,80
856,39,51,74
857,52,67,89
858,58,74,97
859,47,65,88
860,31,50,74
861,37,53,79
862,38,53,80
863,60,74,101
864,84,97,125
865,49,61,90
866,52,64,92
867,56,67,93
868,54,66,90
869,46,57,79
870,47,58,78
871,38,48,67
872,28,38,56
873,16,22,43
874,21,22,47
875,28,30,55
876,23,26,51
877,13,18,40
878,14,20,41
879,10,17,38
880,15,23,43
881,16,25,44
882,24,33,52
883,39,47,68
884,40,48,69
885,51,59,81
886,47,54,77
887,42,48,73
888,40,46,72
889,55,61,87
890,35,41,69
891,31,37,65
892,21,25,52
893,18,22,49
894,17,21,47
895,21,25,51
896,30,33,60
897,36,39,66
898,32,35,62
899,15,18,44
900,12,16,43
901,21,26,49
902,20,26,47
903,17,23,43
904,10,16,36
905,18,24,44
906,21,27,47
907,27,32,51
908,22,29,47
909,19,26,44
910,38,46,64
911,42,51,70
912,25,34,53
913,14,22,41
914,18,26,46
915,20,29,48
916,36,45,64
917,64,73,92
918,47,56,75
919,30,39,57
920,47,54,72
921,33,40,58
922,23,29,47
923,18,26,42
924,15,22,37
925,12,19,34
926,7,15,28
927,9,17,30
928,9,17,30
929,9,15,27
930,11,16,28
931,13,18,29
932,11,16,28
933,9,14,26
934,13,18,29
935,13,18,29
936,12,17,29
937,18,23,35
938,26,30,45
939,25,31,47
940,22,28,44
941,18,24,40
942,24,32,47
943,34,44,59
944,29,41,56
945,38,51,65
946,33,47,60
947,25,37,53
948,36,46,64
949,38,47,65
950,23,31,49
951,30,38,55
952,30,37,55
953,24,31,49
954,20,26,44
955,23,29,47
956,33,39,55
957,20,27,40
958,14,21,34
959,9,15,29
960,7,14,27
961,20,27,41
962,25,32,45
963,16,24,37
964,9,15,29
965,8,14,30
966,9,14,32
967,5,10,30
968,7,12,31
969,17,21,40
970,27,31,51
971,14,18,38
972,43,48,68
973,72,77,97
974,72,78,98
975,60,66,87
976,63,69,90
977,47,51,71
978,21,27,47
979,53,60,80
980,108,117,139
981,141,151,172
982,105,115,136
983,106,117,138
984,89,103,122
985,122,138,156
986,135,150,168
987,143,157,175
988,58,71,89
989,27,38,56
990,131,150,167
991,199,222,237
992,177,201,218
993,175,199,216
994,178,200,217
995,179,201,218
996,181,203,220
997,180,202,219
998,181,203,220
999,180,202,219
1000,180,202,219
1001,180,202,219
1002,180,202,219
1003,180,202,219
1004,180,202,219
1005,181,203,220
1006,182,204,221
1007,181,203,220
1008,181,203,220
1009,182,204,221
1010,182,204,221
1011,181,203,220
1012,180,202,219
1013,181,203,220
1014,181,203,220
1015,181,203,220
1016,181,203,220
1017,181,203,220
1018,180,202,219
1019,180,202,219
1020,180,202,219
1021,179,201,218
1022,178,200,217
1023,177,199,216
1024,178,200,217
1025,179,201,218
1026,180,202,219
1027,180,202,219
1028,181,203,220
1029,182,204,221
1030,182,204,221
1031,181,203,220
1032,182,204,221
1033,182,204,221
1034,182,204,221
1035,181,203,220
1036,180,202,219
1037,179,201,218
1038,178,200,217
1039,179,201,218
1040,179,201,218
1041,179,201,218
1042,178,200,217
1043,179,201,218
1044,179,201,218
1045,179,201,218
1046,178,200,217
1047,178,200,217
1048,177,199,216
1049,177,200,217
1050,179,202,219
1051,179,202,219
1052,177,200,217
1053,175,198,215
1054,177,200,217
1055,178,201,218
1056,179,202,219
1057,177,200,217
1058,173,198,215
1059,174,201,217
1060,175,201,217
1061,177,200,217
1062,177,200,217
1063,178,201,218
1064,180,202,219
1065,180,202,219
1066,180,202,219
1067,180,202,219
1068,179,201,218
1069,180,202,219
1070,180,202,219
1071,180,202,219
1072,180,202,219
1073,180,202,219
1074,180,202,219
1075,179,201,218
1076,179,201,218
1077,179,201,218
1078,180,202,219
1079,180,202,219
1080,179,201,218
1081,180,202,219
1082,180,202,219
1083,178,200,217
1084,177,199,216
1085,178,200,217
1086,179,201,218
1087,179,201,218
1088,178,200,217
1089,177,199,216
1090,176,198,215
1091,175,197,214
1092,177,199,216
1093,177,199,216
1094,177,199,216
1095,177,199,216
1096,178,200,217
1097,178,200,217
1098,178,201,218
1099,177,200,217
1100,176,199,216
1101,176,199,216
1102,175,200,216
1103,175,202,218
1104,177,201,218
1105,179,202,219
1106,179,202,219
1107,179,202,219
1108,179,202,219
1109,178,201,218
1110,177,200,217
1111,178,201,218
1112,178,201,218
1113,177,200,217
1114,177,200,217
1115,176,199,216
1116,176,199,216
1117,176,199,216
1118,176,199,216
1119,176,199,216
1120,177,200,217
1121,177,200,217
1122,178,201,218
1123,180,202,219
1124,178,200,217
1125,176,198,215
1126,176,198,215
1127,176,199,216
1128,176,198,215
1129,175,199,216
1130,173,199,214
1131,180,202,219
1132,180,202,219
1133,180,202,219
1134,180,202,219
1135,181,203,220
1136,181,203,220
1137,180,202,219
1138,181,203,220
1139,182,204,221
1140,180,202,219
1141,181,203,220
1142,182,204,221
1143,182,204,221
1144,182,204,221
1145,183,205,222
1146,183,205,222
1147,183,205,222
1148,182,204,221
1149,182,204,221
1150,181,203,220
